"f","l_density"
943,36.6987374588001
944,36.6936309893794
945,36.6885299264916
946,36.6834342587004
947,36.6783439746057
948,36.6732590628435
949,36.6681795120858
950,36.6631053110402
951,36.6580364484501
952,36.6529729130945
953,36.6479146937874
954,36.6428617793783
955,36.6378141587517
956,36.6327718208268
957,36.6277347545578
958,36.6227029489334
959,36.6176763929767
960,36.6126550757453
961,36.6076389863308
962,36.6026281138589
963,36.5976224474892
964,36.592621976415
965,36.5876266898634
966,36.5826365770948
967,36.5776516274028
968,36.5726718301146
969,36.5676971745901
970,36.5627276502223
971,36.5577632464369
972,36.5528039526923
973,36.5478497584795
974,36.5429006533217
975,36.5379566267745
976,36.5330176684256
977,36.5280837678946
978,36.5231549148331
979,36.5182310989243
980,36.513312309883
981,36.5083985374556
982,36.5034897714197
983,36.4985860015842
984,36.4936872177891
985,36.4887934099052
986,36.4839045678343
987,36.4790206815089
988,36.4741417408921
989,36.4692677359772
990,36.4643986567882
991,36.4595344933791
992,36.4546752358342
993,36.4498208742674
994,36.4449713988228
995,36.440126799674
996,36.4352870670245
997,36.4304521911071
998,36.4256221621838
999,36.4207969705462
1000,36.4159766065148
1001,36.3972020377108
1002,36.378446215359
1003,36.3597091020601
1004,36.3409906605264
1005,36.3222908535816
1006,36.3036096441605
1007,36.2849469953082
1008,36.2663028701799
1009,36.2476772320404
1010,36.2290700442636
1011,36.2104812703322
1012,36.1919108738373
1013,36.1733588184777
1014,36.1548250680598
1015,36.1363095864969
1016,36.117812337809
1017,36.0993332861222
1018,36.0808723956686
1019,36.0624296307853
1020,36.0440049559146
1021,36.0255983356032
1022,36.0072097345021
1023,35.9888391173658
1024,35.9704864490522
1025,35.9521516945222
1026,35.933834818839
1027,35.9155357871681
1028,35.8972545647765
1029,35.8789911170328
1030,35.8607454094062
1031,35.8425174074666
1032,35.8243070768841
1033,35.8061143834285
1034,35.7879392929687
1035,35.769781771473
1036,35.751641785008
1037,35.7335192997386
1038,35.7154142819277
1039,35.6973266979353
1040,35.6792565142188
1041,35.6612036973322
1042,35.6431682139258
1043,35.625150030746
1044,35.6071491146346
1045,35.5891654325289
1046,35.5711989514608
1047,35.5532496385568
1048,35.5353174610377
1049,35.517402386218
1050,35.4995043815054
1051,35.4816234144011
1052,35.4637594524987
1053,35.4459124634842
1054,35.4280824151358
1055,35.4102692753232
1056,35.3924730120075
1057,35.3746935932408
1058,35.3569309871657
1059,35.3391851620153
1060,35.3214560861124
1061,35.3037437278696
1062,35.2860480557887
1063,35.2683690384604
1064,35.2507066445642
1065,35.2330608428676
1066,35.2154316022261
1067,35.1978188915831
1068,35.1802226799687
1069,35.1626429365006
1070,35.1450796303826
1071,35.1275327309052
1072,35.1100022074446
1073,35.0924880294627
1074,35.074990166507
1075,35.0575085882097
1076,35.0400432642878
1077,35.0225941645429
1078,35.0051612588604
1079,34.9877445172096
1080,34.9703439096432
1081,34.9529594062971
1082,34.9355909773901
1083,34.9182385932233
1084,34.9009022241804
1085,34.8835818407266
1086,34.8662774134092
1087,34.8489889128563
1088,34.8317163097775
1089,34.8144595749628
1090,34.7972186792828
1091,34.7799935936881
1092,34.7627842892094
1093,34.7455907369566
1094,34.7284129081192
1095,34.7112507739653
1096,34.6941043058421
1097,34.6769734751749
1098,34.6598582534672
1099,34.6427586123003
1100,34.625674523333
1101,34.6086059583016
1102,34.5915528890189
1103,34.574515287375
1104,34.5574931253359
1105,34.5404863749441
1106,34.5234950083176
1107,34.5065189976505
1108,34.4895583152118
1109,34.4726129333457
1110,34.4556828244712
1111,34.4387679610818
1112,34.4218683157451
1113,34.404983861103
1114,34.3881145698707
1115,34.3712604148371
1116,34.3544213688644
1117,34.3375974048873
1118,34.3207884959136
1119,34.3039946150233
1120,34.2872157353684
1121,34.270451830173
1122,34.2537028727328
1123,34.2369688364147
1124,34.220249694657
1125,34.2035454209687
1126,34.1868559889293
1127,34.1701813721888
1128,34.1535215444673
1129,34.1368764795547
1130,34.1202461513107
1131,34.1036305336641
1132,34.087029600613
1133,34.0704433262244
1134,34.0538716846338
1135,34.0373146500451
1136,34.0207721967305
1137,34.0042442990301
1138,33.9877309313515
1139,33.9712320681698
1140,33.9547476840275
1141,33.9382777535338
1142,33.9218222513647
1143,33.9053811522629
1144,33.888954431037
1145,33.872542062562
1146,33.8561440217784
1147,33.8397602836924
1148,33.8233908233757
1149,33.8070356159649
1150,33.7906946366614
1151,33.7743678607316
1152,33.7580552635061
1153,33.7417568203797
1154,33.7254725068114
1155,33.7092022983236
1156,33.6929461705028
1157,33.6767040989982
1158,33.6604760595226
1159,33.6442620278515
1160,33.6280619798231
1161,33.611875891338
1162,33.5957037383591
1163,33.5795454969114
1164,33.5634011430816
1165,33.5472706530181
1166,33.5311540029306
1167,33.51505116909
1168,33.4989621278283
1169,33.4828868555381
1170,33.4668253286726
1171,33.4507775237455
1172,33.4347434173305
1173,33.4187229860612
1174,33.4027162066309
1175,33.3867230557928
1176,33.370743510359
1177,33.3547775472008
1178,33.3388251432487
1179,33.3228862754916
1180,33.3069609209771
1181,33.2910490568112
1182,33.2751506601578
1183,33.2592657082389
1184,33.2433941783342
1185,33.2275360477809
1186,33.2116912939737
1187,33.1958598943643
1188,33.1800418264614
1189,33.1642370678305
1190,33.1484455960936
1191,33.1326673889293
1192,33.1169024240722
1193,33.1011506793129
1194,33.085412132498
1195,33.0696867615296
1196,33.0539745443654
1197,33.0382754590181
1198,33.0225894835556
1199,33.006916596101
1200,32.9912567748316
1201,32.9756099979796
1202,32.9599762438315
1203,32.9443554907278
1204,32.9287477170632
1205,32.913152901286
1206,32.8975710218984
1207,32.8820020574558
1208,32.866445986567
1209,32.8509027878939
