Profile,Anchor,Trigger,Bypass,Floor,SII,Sones
A4,0.500000,78.333333,66.666667,-13.333333,0.589845,5.221881
A4,0.400000,78.333333,66.666667,-13.333333,0.583580,5.222764
A5,0.300000,65.000000,66.666667,-13.333333,0.557150,5.249331
A2,0.500000,65.000000,66.666667,-13.333333,0.889747,5.063334
A5,0.400000,71.666667,66.666667,-13.333333,0.597003,5.247196
A5,0.500000,78.333333,66.666667,-13.333333,0.626091,5.247274
A2,0.600000,71.666667,66.666667,-13.333333,0.888594,5.063421
A5,0.600000,78.333333,66.666667,-13.333333,0.645419,5.247301
A2,0.400000,85.000000,66.666667,-13.333333,0.889833,5.063243
A2,0.300000,85.000000,66.666667,-13.333333,0.887793,5.063161
A4,0.600000,65.000000,66.666667,-13.333333,0.588151,5.222055
A4,0.300000,78.333333,66.666667,-13.333333,0.576400,5.222826
A5,0.300000,71.666667,66.666667,-13.333333,0.557150,5.249331
A5,0.600000,85.000000,66.666667,-13.333333,0.645419,5.247301
A5,0.400000,78.333333,66.666667,-13.333333,0.596973,5.247195
A4,0.400000,85.000000,66.666667,-13.333333,0.583580,5.222764
A4,0.500000,85.000000,66.666667,-13.333333,0.589720,5.221881
A2,0.500000,71.666667,66.666667,-13.333333,0.889256,5.063323
A5,0.500000,85.000000,66.666667,-13.333333,0.626534,5.247276
A4,0.600000,71.666667,66.666667,-13.333333,0.588114,5.222062
A2,0.600000,78.333333,66.666667,-13.333333,0.888594,5.063421
A4,0.300000,85.000000,66.666667,-13.333333,0.576400,5.222826
A4,0.500000,65.000000,73.333333,-13.333333,0.589822,5.221882
A2,0.300000,65.000000,73.333333,-13.333333,0.887793,5.063161
A2,0.400000,65.000000,73.333333,-13.333333,0.889798,5.063242
A5,0.300000,78.333333,66.666667,-13.333333,0.557150,5.249331
A2,0.500000,78.333333,66.666667,-13.333333,0.889269,5.063323
A4,0.400000,65.000000,73.333333,-13.333333,0.583580,5.222764
A5,0.400000,85.000000,66.666667,-13.333333,0.597003,5.247196
A2,0.400000,71.666667,73.333333,-13.333333,0.889798,5.063242
A5,0.500000,65.000000,73.333333,-13.333333,0.626509,5.247275
A2,0.600000,85.000000,66.666667,-13.333333,0.888594,5.063421
A5,0.600000,65.000000,73.333333,-13.333333,0.645526,5.247303
A2,0.300000,71.666667,73.333333,-13.333333,0.887793,5.063161
A5,0.300000,85.000000,66.666667,-13.333333,0.557169,5.249325
A4,0.600000,78.333333,66.666667,-13.333333,0.588129,5.222009
A4,0.300000,65.000000,73.333333,-13.333333,0.576400,5.222826
A5,0.600000,71.666667,73.333333,-13.333333,0.645419,5.247301
A4,0.400000,71.666667,73.333333,-13.333333,0.583580,5.222764
A5,0.400000,65.000000,73.333333,-13.333333,0.597014,5.247196
A4,0.500000,71.666667,73.333333,-13.333333,0.589846,5.221881
A5,0.500000,71.666667,73.333333,-13.333333,0.626256,5.247278
A4,0.600000,85.000000,66.666667,-13.333333,0.588141,5.222057
A2,0.500000,85.000000,66.666667,-13.333333,0.889234,5.063322
A2,0.600000,65.000000,73.333333,-13.333333,0.888594,5.063421
A2,0.400000,78.333333,73.333333,-13.333333,0.889807,5.063243
A2,0.300000,78.333333,73.333333,-13.333333,0.887825,5.063163
A4,0.500000,78.333333,73.333333,-13.333333,0.589894,5.221881
A4,0.300000,71.666667,73.333333,-13.333333,0.576400,5.222826
A4,0.400000,78.333333,73.333333,-13.333333,0.583580,5.222764
A5,0.500000,78.333333,73.333333,-13.333333,0.626166,5.247274
A5,0.600000,78.333333,73.333333,-13.333333,0.645419,5.247301
A2,0.500000,65.000000,73.333333,-13.333333,0.889247,5.063321
A5,0.300000,65.000000,73.333333,-13.333333,0.557150,5.249331
A2,0.400000,85.000000,73.333333,-13.333333,0.889794,5.063223
A5,0.400000,71.666667,73.333333,-13.333333,0.597003,5.247196
A2,0.300000,85.000000,73.333333,-13.333333,0.887793,5.063162
A4,0.400000,85.000000,73.333333,-13.333333,0.583580,5.222764
A5,0.600000,85.000000,73.333333,-13.333333,0.645419,5.247301
A4,0.500000,85.000000,73.333333,-13.333333,0.589782,5.221882
A4,0.600000,65.000000,73.333333,-13.333333,0.588171,5.222051
A5,0.300000,71.666667,73.333333,-13.333333,0.557150,5.249331
A2,0.600000,71.666667,73.333333,-13.333333,0.888594,5.063421
A2,0.300000,65.000000,80.000000,-13.333333,0.887814,5.063163
A5,0.500000,85.000000,73.333333,-13.333333,0.626180,5.247274
A4,0.300000,78.333333,73.333333,-13.333333,0.576400,5.222826
A2,0.500000,71.666667,73.333333,-13.333333,0.889092,5.063322
A2,0.400000,65.000000,80.000000,-13.333333,0.889800,5.063242
A4,0.600000,71.666667,73.333333,-13.333333,0.588208,5.222045
A5,0.400000,78.333333,73.333333,-13.333333,0.597003,5.247196
A4,0.500000,65.000000,80.000000,-13.333333,0.589763,5.221881
A2,0.600000,78.333333,73.333333,-13.333333,0.888594,5.063421
A4,0.400000,65.000000,80.000000,-13.333333,0.583580,5.222764
A5,0.600000,65.000000,80.000000,-13.333333,0.645633,5.247303
A5,0.500000,65.000000,80.000000,-13.333333,0.626168,5.247260
A2,0.500000,78.333333,73.333333,-13.333333,0.889354,5.063035
A5,0.300000,78.333333,73.333333,-13.333333,0.557150,5.249331
A2,0.400000,71.666667,80.000000,-13.333333,0.889800,5.063242
A2,0.300000,71.666667,80.000000,-13.333333,0.887793,5.063161
A5,0.400000,85.000000,73.333333,-13.333333,0.597003,5.247196
A4,0.500000,71.666667,80.000000,-13.333333,0.589808,5.221882
A4,0.300000,85.000000,73.333333,-13.333333,0.576400,5.222826
A5,0.300000,85.000000,73.333333,-13.333333,0.557150,5.249331
